Class,Accuracy,Sensitivity_TPR,Specificity_TNR,Precision_PPV,FPR,FNR,F1_Score
X4,0.9199157007376185,0.8240740740740741,0.9322235434007135,0.6095890410958904,0.06777645659928655,0.17592592592592593,0.7007874015748031
R5,0.9199157007376185,0.9322235434007135,0.8240740740740741,0.9763387297633873,0.17592592592592593,0.06777645659928655,0.9537712895377128
